Order Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales
27/12/2016,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
10/09/2018,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168
17/07/2017,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
19/09/2018,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
11/03/2017,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
11/03/2017,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
20/10/2015,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
20/06/2017,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
20/06/2017,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
18/04/2016,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
18/04/2016,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18
18/04/2016,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
18/04/2016,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
11/12/2017,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26
11/12/2017,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48
17/06/2017,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
24/11/2016,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
24/11/2016,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
24/11/2016,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73
24/11/2016,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
30/04/2016,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
05/12/2015,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",201.86449864780047
05/12/2015,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
04/06/2017,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
18/09/2017,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
14/09/2018,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
26/04/2016,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
26/04/2016,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
26/04/2016,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
09/12/2018,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248
09/12/2018,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
09/12/2018,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
26/11/2015,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
12/06/2017,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
12/06/2017,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
12/10/2015,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
12/10/2015,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
03/09/2016,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
13/11/2018,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
28/05/2018,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
26/10/2018,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
26/10/2018,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16
05/04/2017,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
17/09/2017,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
17/09/2017,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584
17/09/2017,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48
31/01/2016,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96
31/01/2016,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
31/01/2016,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
06/11/2018,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
09/11/2018,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
17/06/2018,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
06/09/2017,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
29/08/2017,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
29/08/2017,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
29/08/2017,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
01/12/2017,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
13/11/2016,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
13/11/2016,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
13/11/2016,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
23/11/2018,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
23/11/2018,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992
23/11/2018,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304
15/10/2016,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
25/12/2018,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
03/11/2017,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
03/11/2017,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
25/08/2015,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
25/08/2015,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
25/08/2015,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976
25/08/2015,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
02/03/2016,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53
05/04/2016,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
12/06/2017,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04
12/06/2017,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
12/06/2017,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
12/06/2017,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
12/06/2017,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
26/12/2015,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
20/09/2015,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
05/11/2018,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
05/11/2018,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
06/11/2017,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424
06/11/2017,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
02/02/2018,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
02/02/2018,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304
02/02/2018,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
13/10/2017,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
05/09/2017,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
18/09/2018,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Art,Newell 343,8.82
18/09/2018,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
18/09/2018,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,Xerox 1911,143.7
22/12/2018,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
07/09/2016,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
22/10/2015,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888
05/12/2017,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
05/12/2017,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97
05/12/2017,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
05/12/2017,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55
13/03/2017,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
13/03/2017,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184
31/05/2016,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38
31/05/2016,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Paper,Xerox 1883,105.52
31/05/2016,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88
28/05/2016,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,West,Office Supplies,Art,Newell 311,6.63
01/03/2015,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568
20/11/2017,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,Labels,Avery 519,14.62
20/11/2017,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Technology,Phones,Avaya 5420 Digital phone,944.93
11/05/2017,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1920,5.98
28/12/2016,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384
16/11/2017,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,West,Office Supplies,Envelopes,Staple envelope,28.4
07/11/2017,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,BIC Brite Liner Highlighters,9.936
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,201.86449864780047
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98
08/09/2015,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976
05/08/2015,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
05/08/2015,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1913,110.96
05/08/2015,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,West,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144
14/09/2015,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448
14/09/2015,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Labels,Avery 51,20.16
